,FCR,Length,method,Thresholding_type
0,0.06988352745424298,1.7440930651704973,SCOP,T-test
1,0.026666666666666616,4.584633697328263,OCP,T-test
2,0.008333333333333304,8.647261543619205,ACP,T-test
3,0.07237813884785815,1.750038489216631,SCOP,T-cal
4,0.025147928994082802,4.584633697328263,OCP,T-cal
5,0.010355029585798814,8.199312418095458,ACP,T-cal
6,0.10581222056631889,1.9913689893529491,SCOP,T-pos
7,0.046979865771812124,4.584633697328263,OCP,T-pos
8,0.031319910514541416,5.616305182259164,ACP,T-pos
9,0.08985024958402665,0.7555108572313746,SCOP,T-test
10,0.018333333333333313,4.6660741115242566,OCP,T-test
11,0.0050000000000000044,9.080472139962875,ACP,T-test
12,0.05699481865284972,1.163492789452356,SCOP,T-cal
13,0.015625,4.6660741115242566,OCP,T-cal
14,0.00520833333333337,13.23031404505939,ACP,T-cal
15,0.1011699931176876,2.211757039278703,SCOP,T-pos
16,0.045454545454545414,4.6660741115242566,OCP,T-pos
17,0.030303030303030276,5.5054348643568884,ACP,T-pos
18,0.10482529118136441,0.6107561703896596,SCOP,T-test
19,0.02833333333333332,4.267144667534188,OCP,T-test
20,0.018333333333333313,7.552065917612767,ACP,T-test
21,0.11335012594458438,0.6095328153315666,SCOP,T-cal
22,0.007575757575757569,4.267144667534188,OCP,T-cal
23,0.002525252525252486,9.324539474973363,ACP,T-cal
24,0.11026352288488206,1.7950008380517815,SCOP,T-pos
25,0.059680777238029115,4.267144667534188,OCP,T-pos
26,0.04371963913948651,5.395741002777668,ACP,T-pos
27,0.09484193011647257,0.6423833228002211,SCOP,T-test
28,0.011666666666666714,4.54662269929529,OCP,T-test
29,0.0050000000000000044,8.60426883484083,ACP,T-test
30,0.07999999999999996,0.7257300209647833,SCOP,T-cal
31,0.011494252873563204,4.54662269929529,OCP,T-cal
32,0.0,12.28119556983291,ACP,T-cal
33,0.078125,0.6184359847593948,SCOP,T-pos
34,0.012173913043478257,4.54662269929529,OCP,T-pos
35,0.00521739130434784,8.723605104641987,ACP,T-pos
36,0.09151414309484196,0.8193903612028102,SCOP,T-test
37,0.018333333333333313,4.25749622667326,OCP,T-test
38,0.0033333333333332993,8.836926272999495,ACP,T-test
39,0.09284627092846276,0.8435589832175987,SCOP,T-cal
40,0.024390243902439046,4.25749622667326,OCP,T-cal
41,0.004573170731707266,8.398076506796723,ACP,T-cal
42,0.0892364305427783,1.1068377755496577,SCOP,T-pos
43,0.0423572744014733,4.25749622667326,OCP,T-pos
44,0.02117863720073665,6.311210752328017,ACP,T-pos
45,0.1014975041597338,0.6960629059075302,SCOP,T-test
46,0.021666666666666612,4.376128262576436,OCP,T-test
47,0.013333333333333308,7.957829599203171,ACP,T-test
48,0.10136986301369866,0.7358069650735989,SCOP,T-cal
49,0.016483516483516536,4.376128262576436,OCP,T-cal
50,0.008241758241758212,9.784622233521084,ACP,T-cal
51,0.0912190963341859,1.271603821141465,SCOP,T-pos
52,0.03754266211604096,4.376128262576436,OCP,T-pos
53,0.024744027303754246,5.76175124369829,ACP,T-pos
54,0.09983361064891849,0.917651923238072,SCOP,T-test
55,0.026666666666666616,4.6526538657422964,OCP,T-test
56,0.015000000000000013,7.957105872538714,ACP,T-test
57,0.12096774193548387,1.0504870680197957,SCOP,T-cal
58,0.02429149797570851,4.6526538657422964,OCP,T-cal
59,0.012145748987854255,11.013808699203379,ACP,T-cal
60,0.09999999999999998,0.9188752866203498,SCOP,T-pos
61,0.026272577996715896,4.6526538657422964,OCP,T-pos
62,0.014778325123152691,7.9460348899338,ACP,T-pos
63,0.13311148086522462,0.7466149305978103,SCOP,T-test
64,0.018333333333333313,4.627191478510473,OCP,T-test
65,0.00666666666666671,8.017079748860008,ACP,T-test
66,0.13178294573643412,0.92029567276535,SCOP,T-cal
67,0.0077821011673151474,4.627191478510473,OCP,T-cal
68,0.0038910505836575737,11.49172697923034,ACP,T-cal
69,0.10495049504950493,1.403083428711662,SCOP,T-pos
70,0.030723488602576787,4.627191478510473,OCP,T-pos
71,0.01783944499504464,5.899512460871316,ACP,T-pos
72,0.09816971713810319,0.8409069980607011,SCOP,T-test
73,0.023333333333333317,4.302256883101092,OCP,T-test
74,0.013333333333333308,7.5420103599219,ACP,T-test
75,0.05128205128205132,0.5938693205969348,SCOP,T-cal
76,0.012987012987012991,4.302256883101092,OCP,T-cal
77,0.0,14.439250240669987,ACP,T-cal
78,0.0928355196770938,1.4976214814048736,SCOP,T-pos
79,0.036363636363636376,4.302256883101092,OCP,T-pos
80,0.021212121212121238,5.963393570704145,ACP,T-pos
81,0.11314475873544094,0.7538998593021109,SCOP,T-test
82,0.01666666666666672,4.485095336647956,OCP,T-test
83,0.0033333333333332993,8.588409674464408,ACP,T-test
84,0.11455108359133126,0.8453086292785192,SCOP,T-cal
85,0.0031055900621117516,4.485095336647956,OCP,T-cal
86,0.0,11.385491237890573,ACP,T-cal
87,0.10423452768729646,3.9700256263106803,SCOP,T-pos
88,0.07495926127104835,4.485095336647956,OCP,T-pos
89,0.06192286800651825,4.760499894330296,ACP,T-pos
90,0.07820299500831951,1.5746642903247314,SCOP,T-test
91,0.018333333333333313,5.00638166755388,OCP,T-test
92,0.010000000000000009,8.553525455352307,ACP,T-test
93,0.08366533864541836,1.5846127421391185,SCOP,T-cal
94,0.019960079840319334,5.00638166755388,OCP,T-cal
95,0.009980039920159722,9.167180489025455,ACP,T-cal
96,0.09166173861620341,3.363831951686971,SCOP,T-pos
97,0.046745562130177554,5.00638166755388,OCP,T-pos
